Team1,Team2,Wins1,Wins2,T1 %,T2 %
australia,france,7,22,"0,233333333333333","0,733333333333333"
denmark,france,3,26,"0,1","0,866666666666667"
tunisia,france,0,29,0,"0,966666666666667"
denmark,australia,2,27,"0,0666666666666667","0,9"
tunisia,australia,4,26,"0,133333333333333","0,866666666666667"
tunisia,denmark,11,16,"0,366666666666667","0,533333333333333"
