Team1,Team2,Wins1,Wins2,T1 %,T2 %
canada,belgium,5,24,"0,166666666666667","0,8"
morocco,belgium,9,16,"0,3","0,533333333333333"
morocco,canada,20,5,"0,666666666666667","0,166666666666667"
croatia,belgium,0,29,0,"0,966666666666667"
croatia,canada,17,11,"0,566666666666667","0,366666666666667"
croatia,morocco,6,20,"0,2","0,666666666666667"
