Team1,Team2,Wins1,Wins2,T1 %,T2 %
ghana,portugal,4,22,"0,133333333333333","0,733333333333333"
uruguay,portugal,6,22,"0,2","0,733333333333333"
south-korea,portugal,12,13,"0,4","0,433333333333333"
uruguay,ghana,19,5,"0,633333333333333","0,166666666666667"
south-korea,ghana,22,4,"0,733333333333333","0,133333333333333"
south-korea,uruguay,20,9,"0,666666666666667","0,3"
