Team1,Team2,Wins1,Wins2,T1 %,T2 %
saudi-arabia,argentina,2,28,"0,07","0,93"
poland,argentina,8,20,"0,29","0,71"
mexico,argentina,2,26,"0,07","0,93"
mexico,saudi-arabia,9,17,"0,35","0,65"
poland,saudi-arabia,21,7,"0,75","0,25"
poland,mexico,23,4,"0,85","0,15"
