Team1,Team2,Wins1,Wins2,T1 %,T2 %
ecuador,qatar,22,3,"0,733333333333333","0,1"
senegal,qatar,27,0,"0,9",0
netherlands,qatar,25,4,"0,833333333333333","0,133333333333333"
senegal,ecuador,17,12,"0,566666666666667","0,4"
netherlands,ecuador,10,17,"0,333333333333333","0,566666666666667"
netherlands,senegal,4,20,"0,133333333333333","0,666666666666667"
