Team1,Team2,Wins1,Wins2,T1 %,T2 %
usa,argentina,5,21,"0,19","0,81"
england,france,12,16,"0,43","0,57"
brazil,germany,15,13,"0,54","0,46"
cameroon,belgium,6,20,"0,23","0,77"
