Team1,Team2,Wins1,Wins2,T1 %,T2 %
usa,senegal,19,7,"0,633333333333333","0,233333333333333"
poland,france,6,23,"0,2","0,766666666666667"
ecuador,england,4,22,"0,133333333333333","0,733333333333333"
australia,argentina,4,21,"0,133333333333333","0,7"
ecuador,england,4,22,"0,133333333333333","0,733333333333333"
south-korea,brazil,4,22,"0,133333333333333","0,733333333333333"
cameroon,portugal,19,10,"0,633333333333333","0,333333333333333"
