Team1,Team2,Wins1,Wins2,T1 %,T2 %
serbia,brazil,4,23,"0,15","0,85"
switzerland,brazil,4,24,"0,142857142857143","0,857142857142857"
cameroon,brazil,7,20,"0,26","0,74"
switzerland,serbia,20,7,"0,74","0,26"
cameroon,serbia,20,6,"0,77","0,23"
cameroon,switzerland,19,7,"0,73","0,27"
