Team1,Team2,Wins1,Wins2,T1 %,T2 %
ghana,portugal,4,22,"0,15","0,85"
uruguay,portugal,6,22,"0,21","0,79"
south-korea,portugal,12,13,"0,48","0,52"
uruguay,ghana,19,5,"0,79","0,21"
south-korea,ghana,22,4,"0,85","0,15"
south-korea,uruguay,20,9,"0,69","0,31"
