Team1,Team2,Wins1,Wins2,T1 %,T2 %
costa-rica,spain,4,24,"0,14","0,86"
germany,spain,17,8,"0,68","0,32"
japan,spain,7,18,"0,28","0,72"
germany,costa-rica,26,3,"0,90","0,10"
japan,costa-rica,18,10,"0,64","0,36"
japan,germany,6,20,"0,23","0,77"
