Team1,Team2,Wins1,Wins2,T1 %,T2 %
australia,france,7,22,"0,24","0,76"
denmark,france,3,26,"0,10","0,90"
tunisia,france,0,29,0,1
denmark,australia,2,27,"0,07","0,93"
tunisia,australia,4,26,"0,13","0,87"
tunisia,denmark,11,16,"0,41","0,59"
