Team1,Team2,Wins1,Wins2,T1 %,T2 %
canada,belgium,5,24,"0,17","0,83"
morocco,belgium,9,16,"0,36","0,64"
morocco,canada,20,5,"0,8","0,2"
croatia,belgium,0,29,0,1
croatia,canada,17,11,"0,61","0,39"
croatia,morocco,6,20,"0,23","0,77"
